agent,depth,layout,average score,average turn time
AlphaBetaAgent,2,capsuleClassic,272.85714285714283,0.004769419376082523
AlphaBetaAgent,3,capsuleClassic,675.4285714285714,0.010969313973929544
AlphaBetaAgent,4,capsuleClassic,720.8571428571429,0.03416013875806312
AlphaBetaAgent,2,contestClassic,1318.5714285714287,0.00543563978249915
AlphaBetaAgent,3,contestClassic,1688.4285714285713,0.019081708649608578
AlphaBetaAgent,4,contestClassic,2048.5714285714284,0.07276917805686156
AlphaBetaAgent,2,mediumClassic,1837.0,0.007815060569244681
AlphaBetaAgent,3,mediumClassic,1722.142857142857,0.0229291487016807
AlphaBetaAgent,4,mediumClassic,1741.7142857142858,0.07299841878012533
AlphaBetaAgent,2,minimaxClassic,228.0,0.0019095151320747707
AlphaBetaAgent,3,minimaxClassic,512.8571428571429,0.004883863488022162
AlphaBetaAgent,4,minimaxClassic,-63.42857142857143,0.009629998096199922
AlphaBetaAgent,2,openClassic,381.14285714285717,0.021603971341285822
AlphaBetaAgent,3,openClassic,1260.7142857142858,0.20103752693073862
AlphaBetaAgent,4,openClassic,1226.857142857143,0.9553640872144034
AlphaBetaAgent,2,originalClassic,2066.714285714286,0.007924673929865187
AlphaBetaAgent,3,originalClassic,2501.714285714286,0.023549443942181333
AlphaBetaAgent,4,originalClassic,2781.0,0.06613663627305583
AlphaBetaAgent,2,smallClassic,612.5714285714286,0.00879443803733445
AlphaBetaAgent,3,smallClassic,1012.4285714285714,0.03175313065484749
AlphaBetaAgent,4,smallClassic,1209.7142857142858,0.10953721110866284
AlphaBetaAgent,2,testClassic,562.2857142857143,0.007377529531959596
AlphaBetaAgent,3,testClassic,563.1428571428571,0.02982870330158462
AlphaBetaAgent,4,testClassic,562.8571428571429,0.08143181560420189
AlphaBetaAgent,2,trappedClassic,-501.0,0.000997026761372884
AlphaBetaAgent,3,trappedClassic,-501.0,0.0003325939178466797
AlphaBetaAgent,4,trappedClassic,-501.0,0.0006647904713948568
AlphaBetaAgent,2,trickyClassic,1358.142857142857,0.013897448173888022
AlphaBetaAgent,3,trickyClassic,1702.0,0.07273529390556312
AlphaBetaAgent,4,trickyClassic,2194.1428571428573,0.4419391970301783
MinimaxAgent,2,capsuleClassic,477.0,0.005342021802576577
MinimaxAgent,3,capsuleClassic,508.85714285714283,0.014790730128391725
MinimaxAgent,4,capsuleClassic,172.0,0.053647177732443506
MinimaxAgent,2,contestClassic,1227.2857142857142,0.0076741076618260734
MinimaxAgent,3,contestClassic,1635.7142857142858,0.037598288235539595
MinimaxAgent,4,contestClassic,1747.857142857143,0.16257477740046694
MinimaxAgent,2,mediumClassic,1775.7142857142858,0.010029084959381363
MinimaxAgent,3,mediumClassic,1745.0,0.04467552534028805
MinimaxAgent,4,mediumClassic,1806.857142857143,0.22227084350402715
MinimaxAgent,2,minimaxClassic,82.85714285714286,0.0054671271093960465
MinimaxAgent,3,minimaxClassic,510.42857142857144,0.007307215170426803
MinimaxAgent,4,minimaxClassic,224.71428571428572,0.0271706892096478
MinimaxAgent,2,openClassic,1264.7142857142858,0.06163623901066592
MinimaxAgent,3,openClassic,1227.142857142857,0.6495147359640657
MinimaxAgent,4,openClassic,1305.857142857143,6.026464885973004
MinimaxAgent,2,originalClassic,543.2857142857143,0.009456016158293412
MinimaxAgent,3,originalClassic,2677.5714285714284,0.03668503775663689
MinimaxAgent,4,originalClassic,2175.714285714286,0.13730904536419156
MinimaxAgent,2,smallClassic,646.7142857142857,0.01249883288428897
MinimaxAgent,3,smallClassic,1012.8571428571429,0.06624365612660989
MinimaxAgent,4,smallClassic,1137.4285714285713,0.36408434756088837
MinimaxAgent,2,testClassic,562.8571428571429,0.012627791957694944
MinimaxAgent,3,testClassic,562.2857142857143,0.06559919923301635
MinimaxAgent,4,testClassic,563.1428571428571,0.49078893661499023
MinimaxAgent,2,trappedClassic,-501.0,0.0011774301528930664
MinimaxAgent,3,trappedClassic,-501.0,0.0011632442474365234
MinimaxAgent,4,trappedClassic,-501.0,0.001661539077758789
MinimaxAgent,2,trickyClassic,1718.142857142857,0.025619959860277815
MinimaxAgent,3,trickyClassic,1611.2857142857142,0.1994013349373502
MinimaxAgent,4,trickyClassic,1977.142857142857,2.0322628307757395
RandomExpectimaxAgent,2,capsuleClassic,404.14285714285717,0.005338089995914035
RandomExpectimaxAgent,3,capsuleClassic,686.5714285714286,0.01931436704631973
RandomExpectimaxAgent,4,capsuleClassic,311.57142857142856,0.085839765094151
RandomExpectimaxAgent,2,contestClassic,1738.857142857143,0.008335444624612599
RandomExpectimaxAgent,3,contestClassic,1982.0,0.04343666487960454
RandomExpectimaxAgent,4,contestClassic,2296.714285714286,0.1733570114741307
RandomExpectimaxAgent,2,mediumClassic,1803.857142857143,0.010612209637959799
RandomExpectimaxAgent,3,mediumClassic,1545.142857142857,0.041067726365295
RandomExpectimaxAgent,4,mediumClassic,1808.142857142857,0.2702233659666638
RandomExpectimaxAgent,2,minimaxClassic,371.2857142857143,0.002462005615234375
RandomExpectimaxAgent,3,minimaxClassic,371.85714285714283,0.0070977394397442155
RandomExpectimaxAgent,4,minimaxClassic,514.5714285714286,0.020642132372469514
RandomExpectimaxAgent,2,openClassic,1284.2857142857142,0.06156282584043571
RandomExpectimaxAgent,3,openClassic,1279.5714285714287,0.6258855039513285
RandomExpectimaxAgent,4,openClassic,1340.2857142857142,6.377815804333926
RandomExpectimaxAgent,2,originalClassic,1209.5714285714287,0.011514704526712272
RandomExpectimaxAgent,3,originalClassic,2546.5714285714284,0.03693388455214101
RandomExpectimaxAgent,4,originalClassic,2110.1428571428573,0.18342190241750753
RandomExpectimaxAgent,2,smallClassic,1133.7142857142858,0.012428562170529638
RandomExpectimaxAgent,3,smallClassic,1273.4285714285713,0.07579526863698884
RandomExpectimaxAgent,4,smallClassic,1563.5714285714287,0.4640122995471323
RandomExpectimaxAgent,2,testClassic,562.5714285714286,0.011741780052500322
RandomExpectimaxAgent,3,testClassic,562.8571428571429,0.08006226114866112
RandomExpectimaxAgent,4,testClassic,563.4285714285714,0.4642344723577085
RandomExpectimaxAgent,2,trappedClassic,-58.857142857142854,0.0004836897696218183
RandomExpectimaxAgent,3,trappedClassic,-206.57142857142858,0.0009175872802734375
RandomExpectimaxAgent,4,trappedClassic,-354.2857142857143,0.0010516894491095293
RandomExpectimaxAgent,2,trickyClassic,1491.0,0.0244353547164997
RandomExpectimaxAgent,3,trickyClassic,1673.0,0.20874350496347516
RandomExpectimaxAgent,4,trickyClassic,2114.714285714286,1.7607863280572364
